Event_ID,Assignment_ID,Product_ID,Transport_ID,Dispatch_Window,Delivery_Window,Urgent_Flag,Event_Type,Event_Date
ASN-00429,ZONE-4::RACK-7::434::GJ03X4858,SUP-1438-B14-434,ZONE-4::RACK-2::434::GJ03X4858::General,2025-07-03,2025-07-05,1,Assigned,2025-06-30 14:19:16.863742
ASN-00430,ZONE-2::RACK-4::384::GJ04X2061,IMM-1439-B43-384,ZONE-2::RACK-9::384::GJ04X2061::Specialised,2025-07-04,2025-07-06,1,Assigned,2025-07-01 14:19:16.863742
ASN-00431,ZONE-4::RACK-7::795::GJ07X3009,DEW-1440-B65-795,ZONE-4::RACK-5::795::GJ07X3009::General,2025-07-05,2025-07-07,0,Assigned,2025-06-23 14:19:16.863742
ASN-00432,ZONE-4::RACK-7::285::GJ01X4053,VIT-1441-B90-285,ZONE-4::RACK-6::285::GJ01X4053::General,2025-07-05,2025-07-07,1,Assigned,2025-06-26 14:19:16.863742
ASN-00433,ZONE-3::RACK-10::854::GJ27X6555,TOP-1442-B63-854,ZONE-3::RACK-10::854::GJ27X6555::Specialised,2025-07-05,2025-07-08,1,Assigned,2025-06-26 14:19:16.863742
ASN-00434,ZONE-2::RACK-4::384::GJ08X1229,IMM-1443-B26-384,ZONE-2::RACK-9::384::GJ08X1229::Specialised,2025-07-03,2025-07-07,1,Assigned,2025-06-27 14:19:16.863742
ASN-00435,ZONE-1::RACK-9::789::GJ11X7822,ANT-1444-B37-789,ZONE-1::RACK-10::789::GJ11X7822::Specialised,2025-07-05,2025-07-09,1,Assigned,2025-06-29 14:19:16.863742
ASN-00436,ZONE-2::RACK-4::384::GJ10X2304,IMM-1445-B19-384,ZONE-2::RACK-7::384::GJ10X2304::Specialised,2025-07-04,2025-07-06,1,Assigned,2025-06-30 14:19:16.863742
ASN-00437,ZONE-4::RACK-8::795::GJ30X6044,DEW-1446-B46-795,ZONE-4::RACK-3::795::GJ30X6044::General,2025-07-05,2025-07-08,1,Assigned,2025-06-24 14:19:16.863742
ASN-00438,ZONE-4::RACK-8::434::GJ23X5185,SUP-1447-B62-434,ZONE-4::RACK-8::434::GJ23X5185::General,2025-07-03,2025-07-06,1,Assigned,2025-06-29 14:19:16.863742
ASN-00439,ZONE-4::RACK-8::434::GJ23X1698,SUP-1448-B46-434,ZONE-4::RACK-4::434::GJ23X1698::General,2025-07-05,2025-07-09,0,Assigned,2025-07-01 14:19:16.863742
ASN-00440,ZONE-4::RACK-8::795::GJ08X2500,DEW-1449-B81-795,ZONE-4::RACK-3::795::GJ08X2500::General,2025-07-05,2025-07-08,1,Assigned,2025-06-29 14:19:16.863742
ASN-00441,ZONE-4::RACK-8::185::GJ08X4506,DIG-1450-B14-185,ZONE-4::RACK-6::185::GJ08X4506::General,2025-07-05,2025-07-09,0,Assigned,2025-06-26 14:19:16.863742
ASN-00442,ZONE-1::RACK-9::789::GJ22X7532,ANT-1451-B93-789,ZONE-1::RACK-3::789::GJ22X7532::Specialised,2025-07-04,2025-07-07,1,Assigned,2025-07-01 14:19:16.863742
ASN-00443,ZONE-4::RACK-9::795::GJ24X1949,DEW-1452-B53-795,ZONE-4::RACK-6::795::GJ24X1949::General,2025-07-03,2025-07-07,0,Assigned,2025-06-25 14:19:16.863742
ASN-00444,ZONE-2::RACK-4::384::GJ23X5185,IMM-1453-B76-384,ZONE-2::RACK-4::384::GJ23X5185::Specialised,2025-07-05,2025-07-07,1,Assigned,2025-06-25 14:19:16.863742
ASN-00445,ZONE-4::RACK-9::434::GJ15X1880,SUP-1454-B24-434,ZONE-4::RACK-7::434::GJ15X1880::General,2025-07-03,2025-07-05,1,Assigned,2025-06-28 14:19:16.863742
ASN-00446,ZONE-4::RACK-9::185::GJ30X8944,DIG-1455-B82-185,ZONE-4::RACK-10::185::GJ30X8944::General,2025-07-04,2025-07-07,1,Assigned,2025-06-25 14:19:16.863742
ASN-00447,ZONE-4::RACK-9::285::GJ12X5063,VIT-1457-B45-285,ZONE-4::RACK-8::285::GJ12X5063::General,2025-07-04,2025-07-08,1,Assigned,2025-06-24 14:19:16.863742
ASN-00448,ZONE-1::RACK-9::789::GJ30X6638,ANT-1458-B84-789,ZONE-1::RACK-5::789::GJ30X6638::Specialised,2025-07-03,2025-07-05,1,Assigned,2025-06-23 14:19:16.863742
ASN-00449,ZONE-4::RACK-10::185::GJ06X1549,DIG-1459-B17-185,ZONE-4::RACK-2::185::GJ06X1549::General,2025-07-04,2025-07-06,0,Assigned,2025-06-25 14:19:16.863742
ASN-00450,ZONE-1::RACK-10::295::GJ30X6985,ANT-1460-B99-295,ZONE-1::RACK-2::295::GJ30X6985::Specialised,2025-07-03,2025-07-07,1,Assigned,2025-06-23 14:19:16.863742
ASN-00451,ZONE-1::RACK-10::295::GJ21X8382,ANT-1461-B65-295,ZONE-1::RACK-9::295::GJ21X8382::Specialised,2025-07-04,2025-07-08,1,Assigned,2025-06-23 14:19:16.863742
ASN-00452,ZONE-4::RACK-10::795::GJ24X8239,DEW-1462-B41-795,ZONE-4::RACK-5::795::GJ24X8239::General,2025-07-05,2025-07-07,0,Assigned,2025-06-30 14:19:16.863742
ASN-00453,ZONE-4::RACK-10::185::GJ15X2258,DIG-1463-B92-185,ZONE-4::RACK-5::185::GJ15X2258::General,2025-07-04,2025-07-08,1,Assigned,2025-06-23 14:19:16.863742
ASN-00454,ZONE-4::RACK-10::795::GJ18X7432,DEW-1464-B26-795,ZONE-4::RACK-8::795::GJ18X7432::General,2025-07-04,2025-07-06,0,Assigned,2025-07-01 14:19:16.863742
ASN-00455,ZONE-4::RACK-10::434::GJ17X5492,SUP-1465-B37-434,ZONE-4::RACK-4::434::GJ17X5492::General,2025-07-03,2025-07-05,0,Assigned,2025-06-25 14:19:16.863742
ASN-00456,ZONE-2::RACK-4::384::GJ24X1949,IMM-1466-B25-384,ZONE-2::RACK-2::384::GJ24X1949::Specialised,2025-07-05,2025-07-07,1,Assigned,2025-06-29 14:19:16.863742
ASN-00457,ZONE-2::RACK-5::384::GJ05X6015,IMM-1468-B43-384,ZONE-2::RACK-2::384::GJ05X6015::Specialised,2025-07-04,2025-07-08,1,Assigned,2025-06-25 14:19:16.863742
ASN-00458,ZONE-2::RACK-5::384::GJ13X1303,IMM-1469-B10-384,ZONE-2::RACK-8::384::GJ13X1303::Specialised,2025-07-04,2025-07-08,1,Assigned,2025-06-29 14:19:16.863742
ASN-00459,ZONE-3::RACK-1::854::GJ23X8514,TOP-1470-B69-854,ZONE-3::RACK-7::854::GJ23X8514::Specialised,2025-07-04,2025-07-07,1,Assigned,2025-06-29 14:19:16.863742
ASN-00460,ZONE-2::RACK-5::384::GJ17X2836,IMM-1471-B58-384,ZONE-2::RACK-3::384::GJ17X2836::Specialised,2025-07-05,2025-07-08,1,Assigned,2025-06-25 14:19:16.863742
ASN-00461,ZONE-3::RACK-1::854::GJ06X1549,TOP-1472-B32-854,ZONE-3::RACK-8::854::GJ06X1549::Specialised,2025-07-03,2025-07-07,1,Assigned,2025-07-01 14:19:16.863742
ASN-00462,ZONE-4::RACK-1::285::GJ21X5017,VIT-1473-B52-285,ZONE-4::RACK-7::285::GJ21X5017::General,2025-07-05,2025-07-07,1,Assigned,2025-06-30 14:19:16.863742
ASN-00463,ZONE-1::RACK-10::789::GJ08X3513,ANT-1474-B79-789,ZONE-1::RACK-3::789::GJ08X3513::Specialised,2025-07-03,2025-07-05,1,Assigned,2025-06-28 14:19:16.863742
ASN-00464,ZONE-1::RACK-10::789::GJ20X7043,ANT-1475-B60-789,ZONE-1::RACK-2::789::GJ20X7043::Specialised,2025-07-03,2025-07-06,1,Assigned,2025-06-24 14:19:16.863742
ASN-00465,ZONE-4::RACK-1::795::GJ12X1758,DEW-1476-B59-795,ZONE-4::RACK-1::795::GJ12X1758::General,2025-07-03,2025-07-07,0,Assigned,2025-06-30 14:19:16.863742
ASN-00466,ZONE-4::RACK-1::185::GJ24X6532,DIG-1477-B48-185,ZONE-4::RACK-2::185::GJ24X6532::General,2025-07-05,2025-07-07,1,Assigned,2025-06-25 14:19:16.863742
ASN-00467,ZONE-1::RACK-10::295::GJ21X7971,ANT-1478-B54-295,ZONE-1::RACK-2::295::GJ21X7971::Specialised,2025-07-03,2025-07-07,1,Assigned,2025-06-27 14:19:16.863742
ASN-00468,ZONE-1::RACK-1::789::GJ01X5402,ANT-1480-B40-789,ZONE-1::RACK-8::789::GJ01X5402::Specialised,2025-07-05,2025-07-09,1,Assigned,2025-06-23 14:19:16.863742
ASN-00469,ZONE-3::RACK-1::854::GJ25X3449,TOP-1481-B10-854,ZONE-3::RACK-4::854::GJ25X3449::Specialised,2025-07-04,2025-07-08,1,Assigned,2025-06-26 14:19:16.863742
ASN-00470,ZONE-1::RACK-1::789::GJ14X8855,ANT-1482-B32-789,ZONE-1::RACK-1::789::GJ14X8855::Specialised,2025-07-05,2025-07-08,1,Assigned,2025-06-26 14:19:16.863742
ASN-00471,ZONE-4::RACK-1::285::GJ24X9408,VIT-1483-B76-285,ZONE-4::RACK-5::285::GJ24X9408::General,2025-07-04,2025-07-08,1,Assigned,2025-06-30 14:19:16.863742
ASN-00472,ZONE-4::RACK-1::434::GJ01X5402,SUP-1484-B43-434,ZONE-4::RACK-1::434::GJ01X5402::General,2025-07-04,2025-07-08,0,Assigned,2025-06-24 14:19:16.863742
ASN-00473,ZONE-4::RACK-2::185::GJ24X6892,DIG-1485-B36-185,ZONE-4::RACK-3::185::GJ24X6892::General,2025-07-05,2025-07-09,1,Assigned,2025-06-28 14:19:16.863742
ASN-00474,ZONE-4::RACK-2::185::GJ13X7840,DIG-1486-B19-185,ZONE-4::RACK-4::185::GJ13X7840::General,2025-07-03,2025-07-05,1,Assigned,2025-06-26 14:19:16.863742
ASN-00475,ZONE-3::RACK-1::854::GJ23X1698,TOP-1487-B23-854,ZONE-3::RACK-7::854::GJ23X1698::Specialised,2025-07-04,2025-07-06,1,Assigned,2025-06-27 14:19:16.863742
ASN-00476,ZONE-4::RACK-2::185::GJ30X4471,DIG-1488-B58-185,ZONE-4::RACK-2::185::GJ30X4471::General,2025-07-04,2025-07-08,1,Assigned,2025-06-28 14:19:16.863742
ASN-00477,ZONE-4::RACK-2::795::GJ21X5017,DEW-1489-B91-795,ZONE-4::RACK-7::795::GJ21X5017::General,2025-07-04,2025-07-07,0,Assigned,2025-06-23 14:19:16.863742
ASN-00478,ZONE-4::RACK-2::185::GJ24X3685,DIG-1490-B56-185,ZONE-4::RACK-1::185::GJ24X3685::General,2025-07-04,2025-07-06,1,Assigned,2025-06-30 14:19:16.863742
ASN-00479,ZONE-4::RACK-3::434::GJ23X2866,SUP-1491-B26-434,ZONE-4::RACK-3::434::GJ23X2866::General,2025-07-03,2025-07-05,1,Assigned,2025-06-30 14:19:16.863742
ASN-00480,ZONE-4::RACK-3::434::GJ08X1229,SUP-1492-B57-434,ZONE-4::RACK-3::434::GJ08X1229::General,2025-07-04,2025-07-08,1,Assigned,2025-06-28 14:19:16.863742
ASN-00481,ZONE-3::RACK-2::854::GJ17X5492,TOP-1493-B13-854,ZONE-3::RACK-5::854::GJ17X5492::Specialised,2025-07-03,2025-07-07,1,Assigned,2025-06-26 14:19:16.863742
ASN-00482,ZONE-4::RACK-3::795::GJ19X5713,DEW-1494-B45-795,ZONE-4::RACK-3::795::GJ19X5713::General,2025-07-05,2025-07-08,0,Assigned,2025-06-30 14:19:16.863742
ASN-00483,ZONE-1::RACK-1::789::GJ27X7102,ANT-1495-B72-789,ZONE-1::RACK-3::789::GJ27X7102::Specialised,2025-07-03,2025-07-07,1,Assigned,2025-06-30 14:19:16.863742
ASN-00484,ZONE-4::RACK-3::285::GJ14X7289,VIT-1496-B61-285,ZONE-4::RACK-6::285::GJ14X7289::General,2025-07-05,2025-07-08,1,Assigned,2025-06-26 14:19:16.863742
ASN-00485,ZONE-4::RACK-3::185::GJ06X2813,DIG-1497-B83-185,ZONE-4::RACK-9::185::GJ06X2813::General,2025-07-04,2025-07-08,1,Assigned,2025-06-30 14:19:16.863742
ASN-00486,ZONE-4::RACK-4::185::GJ09X4010,DIG-1498-B12-185,ZONE-4::RACK-9::185::GJ09X4010::General,2025-07-04,2025-07-08,0,Assigned,2025-07-01 14:19:16.863742
ASN-00487,ZONE-1::RACK-1::295::GJ08X4506,ANT-1499-B49-295,ZONE-1::RACK-2::295::GJ08X4506::Specialised,2025-07-05,2025-07-08,1,Assigned,2025-07-01 14:19:16.863742
ASN-00488,ZONE-1::RACK-2::295::GJ13X9573,ANT-1500-B50-295,ZONE-1::RACK-7::295::GJ13X9573::Specialised,2025-07-04,2025-07-07,1,Assigned,2025-06-29 14:19:16.863742
ASN-00489,ZONE-4::RACK-4::285::GJ27X3027,VIT-1501-B28-285,ZONE-4::RACK-9::285::GJ27X3027::General,2025-07-05,2025-07-07,1,Assigned,2025-06-27 14:19:16.863742
ASN-00490,ZONE-3::RACK-2::854::GJ18X3994,TOP-1502-B11-854,ZONE-3::RACK-5::854::GJ18X3994::Specialised,2025-07-03,2025-07-05,1,Assigned,2025-06-23 14:19:16.863742
ASN-00491,ZONE-2::RACK-5::384::GJ29X9603,IMM-1503-B12-384,ZONE-2::RACK-10::384::GJ29X9603::Specialised,2025-07-05,2025-07-07,1,Assigned,2025-06-27 14:19:16.863742
ASN-00492,ZONE-4::RACK-4::285::GJ11X5333,VIT-1504-B25-285,ZONE-4::RACK-3::285::GJ11X5333::General,2025-07-04,2025-07-06,1,Assigned,2025-06-29 14:19:16.863742
ASN-00493,ZONE-2::RACK-5::384::GJ22X7532,IMM-1505-B43-384,ZONE-2::RACK-10::384::GJ22X7532::Specialised,2025-07-03,2025-07-07,1,Assigned,2025-06-24 14:19:16.863742
ASN-00494,ZONE-2::RACK-6::384::GJ11X9382,IMM-1506-B42-384,ZONE-2::RACK-10::384::GJ11X9382::Specialised,2025-07-03,2025-07-07,1,Assigned,2025-06-26 14:19:16.863742
ASN-00495,ZONE-4::RACK-4::434::GJ16X6108,SUP-1507-B18-434,ZONE-4::RACK-7::434::GJ16X6108::General,2025-07-04,2025-07-06,1,Assigned,2025-06-27 14:19:16.863742
ASN-00496,ZONE-1::RACK-2::295::GJ01X9269,ANT-1508-B87-295,ZONE-1::RACK-2::295::GJ01X9269::Specialised,2025-07-03,2025-07-05,1,Assigned,2025-06-27 14:19:16.863742
ASN-00497,ZONE-1::RACK-2::789::GJ15X4723,ANT-1509-B94-789,ZONE-1::RACK-8::789::GJ15X4723::Specialised,2025-07-04,2025-07-08,1,Assigned,2025-06-28 14:19:16.863742
ASN-00498,ZONE-1::RACK-2::789::GJ28X9659,ANT-1510-B41-789,ZONE-1::RACK-8::789::GJ28X9659::Specialised,2025-07-04,2025-07-06,1,Assigned,2025-06-25 14:19:16.863742
ASN-00499,ZONE-4::RACK-4::185::GJ21X4763,DIG-1511-B57-185,ZONE-4::RACK-8::185::GJ21X4763::General,2025-07-03,2025-07-06,1,Assigned,2025-07-01 14:19:16.863742
ASN-00500,ZONE-4::RACK-5::185::GJ23X2866,DIG-1512-B10-185,ZONE-4::RACK-6::185::GJ23X2866::General,2025-07-05,2025-07-09,1,Assigned,2025-06-23 14:19:16.863742
ASN-00501,ZONE-1::RACK-2::295::GJ26X3703,ANT-1513-B20-295,ZONE-1::RACK-5::295::GJ26X3703::Specialised,2025-07-03,2025-07-05,1,Assigned,2025-07-01 14:19:16.863742
ASN-00502,ZONE-4::RACK-5::285::GJ13X9573,VIT-1514-B66-285,ZONE-4::RACK-9::285::GJ13X9573::General,2025-07-05,2025-07-07,1,Assigned,2025-06-30 14:19:16.863742
ASN-00503,ZONE-3::RACK-2::854::GJ12X1758,TOP-1515-B37-854,ZONE-3::RACK-7::854::GJ12X1758::Specialised,2025-07-03,2025-07-05,1,Assigned,2025-06-28 14:19:16.863742
ASN-00504,ZONE-1::RACK-3::789::GJ30X4177,ANT-1516-B94-789,ZONE-1::RACK-6::789::GJ30X4177::Specialised,2025-07-03,2025-07-06,1,Assigned,2025-06-24 14:19:16.863742
ASN-00505,ZONE-4::RACK-5::434::GJ03X5014,SUP-1517-B60-434,ZONE-4::RACK-2::434::GJ03X5014::General,2025-07-03,2025-07-06,0,Assigned,2025-06-29 14:19:16.863742
ASN-00506,ZONE-4::RACK-5::434::GJ24X8239,SUP-1518-B21-434,ZONE-4::RACK-4::434::GJ24X8239::General,2025-07-03,2025-07-07,0,Assigned,2025-07-01 14:19:16.863742
ASN-00507,ZONE-4::RACK-5::795::GJ28X8907,DEW-1519-B70-795,ZONE-4::RACK-9::795::GJ28X8907::General,2025-07-05,2025-07-07,1,Assigned,2025-06-29 14:19:16.863742
ASN-00508,ZONE-4::RACK-6::285::GJ11X7822,VIT-1520-B32-285,ZONE-4::RACK-6::285::GJ11X7822::General,2025-07-04,2025-07-06,1,Assigned,2025-06-27 14:19:16.863742
ASN-00509,ZONE-4::RACK-6::795::GJ15X4723,DEW-1521-B51-795,ZONE-4::RACK-2::795::GJ15X4723::General,2025-07-03,2025-07-07,1,Assigned,2025-06-24 14:19:16.863742
ASN-00510,ZONE-4::RACK-6::434::GJ23X1698,SUP-1522-B67-434,ZONE-4::RACK-4::434::GJ23X1698::General,2025-07-03,2025-07-06,1,Assigned,2025-06-25 14:19:16.863742
ASN-00511,ZONE-3::RACK-2::854::GJ17X3593,TOP-1523-B34-854,ZONE-3::RACK-6::854::GJ17X3593::Specialised,2025-07-03,2025-07-07,1,Assigned,2025-06-24 14:19:16.863742
ASN-00512,ZONE-4::RACK-6::434::GJ19X5713,SUP-1524-B53-434,ZONE-4::RACK-10::434::GJ19X5713::General,2025-07-03,2025-07-07,0,Assigned,2025-06-29 14:19:16.863742
ASN-00513,ZONE-4::RACK-6::185::GJ28X8907,DIG-1525-B15-185,ZONE-4::RACK-6::185::GJ28X8907::General,2025-07-03,2025-07-07,1,Assigned,2025-06-23 14:19:16.863742
ASN-00514,ZONE-3::RACK-2::854::GJ17X8304,TOP-1526-B49-854,ZONE-3::RACK-10::854::GJ17X8304::Specialised,2025-07-05,2025-07-07,1,Assigned,2025-06-27 14:19:16.863742
ASN-00515,ZONE-1::RACK-3::295::GJ30X8944,ANT-1527-B47-295,ZONE-1::RACK-8::295::GJ30X8944::Specialised,2025-07-05,2025-07-09,1,Assigned,2025-06-25 14:19:16.863742
ASN-00516,ZONE-4::RACK-7::285::GJ05X6015,VIT-1528-B82-285,ZONE-4::RACK-8::285::GJ05X6015::General,2025-07-03,2025-07-06,1,Assigned,2025-06-26 14:19:16.863742
ASN-00517,ZONE-4::RACK-7::795::GJ15X1880,DEW-1529-B19-795,ZONE-4::RACK-3::795::GJ15X1880::General,2025-07-05,2025-07-08,0,Assigned,2025-06-25 14:19:16.863742
ASN-00518,ZONE-4::RACK-7::285::GJ24X9408,VIT-1530-B79-285,ZONE-4::RACK-3::285::GJ24X9408::General,2025-07-04,2025-07-08,0,Assigned,2025-06-30 14:19:16.863742
ASN-00519,ZONE-1::RACK-3::295::GJ01X1085,ANT-1531-B17-295,ZONE-1::RACK-2::295::GJ01X1085::Specialised,2025-07-04,2025-07-08,1,Assigned,2025-06-30 14:19:16.863742
ASN-00520,ZONE-1::RACK-3::295::GJ05X6015,ANT-1533-B67-295,ZONE-1::RACK-4::295::GJ05X6015::Specialised,2025-07-05,2025-07-07,1,Assigned,2025-06-29 14:19:16.863742
ASN-00521,ZONE-3::RACK-3::854::GJ10X2304,TOP-1534-B54-854,ZONE-3::RACK-8::854::GJ10X2304::Specialised,2025-07-04,2025-07-07,1,Assigned,2025-06-25 14:19:16.863742
ASN-00522,ZONE-4::RACK-7::285::GJ15X2791,VIT-1535-B66-285,ZONE-4::RACK-8::285::GJ15X2791::General,2025-07-03,2025-07-05,1,Assigned,2025-06-25 14:19:16.863742
ASN-00523,ZONE-2::RACK-6::384::GJ27X4558,IMM-1536-B47-384,ZONE-2::RACK-5::384::GJ27X4558::Specialised,2025-07-03,2025-07-06,1,Assigned,2025-06-30 14:19:16.863742
ASN-00524,ZONE-2::RACK-6::384::GJ10X3428,IMM-1537-B59-384,ZONE-2::RACK-6::384::GJ10X3428::Specialised,2025-07-03,2025-07-06,1,Assigned,2025-06-26 14:19:16.863742
ASN-00525,ZONE-4::RACK-7::795::GJ04X6241,DEW-1538-B13-795,ZONE-4::RACK-6::795::GJ04X6241::General,2025-07-03,2025-07-05,0,Assigned,2025-07-01 14:19:16.863742
ASN-00526,ZONE-1::RACK-3::295::GJ16X6108,ANT-1539-B57-295,ZONE-1::RACK-4::295::GJ16X6108::Specialised,2025-07-05,2025-07-07,1,Assigned,2025-06-30 14:19:16.863742
ASN-00527,ZONE-3::RACK-3::854::GJ06X9142,TOP-1540-B95-854,ZONE-3::RACK-5::854::GJ06X9142::Specialised,2025-07-03,2025-07-07,1,Assigned,2025-06-24 14:19:16.863742
ASN-00528,ZONE-4::RACK-8::795::GJ30X3926,DEW-1541-B73-795,ZONE-4::RACK-10::795::GJ30X3926::General,2025-07-05,2025-07-08,0,Assigned,2025-06-23 14:19:16.863742
ASN-00529,ZONE-4::RACK-8::434::GJ11X4850,SUP-1542-B24-434,ZONE-4::RACK-8::434::GJ11X4850::General,2025-07-05,2025-07-08,1,Assigned,2025-06-25 14:19:16.863742
ASN-00530,ZONE-1::RACK-4::295::GJ14X3279,ANT-1543-B73-295,ZONE-1::RACK-6::295::GJ14X3279::Specialised,2025-07-04,2025-07-08,1,Assigned,2025-06-26 14:19:16.863742
ASN-00531,ZONE-4::RACK-8::795::GJ27X4504,DEW-1544-B86-795,ZONE-4::RACK-3::795::GJ27X4504::General,2025-07-04,2025-07-06,0,Assigned,2025-06-28 14:19:16.863742
ASN-00532,ZONE-4::RACK-8::434::GJ10X2304,SUP-1545-B14-434,ZONE-4::RACK-6::434::GJ10X2304::General,2025-07-04,2025-07-06,1,Assigned,2025-06-24 14:19:16.863742
ASN-00533,ZONE-4::RACK-8::795::GJ17X3593,DEW-1546-B59-795,ZONE-4::RACK-7::795::GJ17X3593::General,2025-07-05,2025-07-09,0,Assigned,2025-06-28 14:19:16.863742
ASN-00534,ZONE-2::RACK-6::384::GJ04X6241,IMM-1547-B24-384,ZONE-2::RACK-2::384::GJ04X6241::Specialised,2025-07-05,2025-07-07,1,Assigned,2025-06-27 14:19:16.863742
ASN-00535,ZONE-1::RACK-4::789::GJ20X7043,ANT-1548-B32-789,ZONE-1::RACK-3::789::GJ20X7043::Specialised,2025-07-04,2025-07-06,1,Assigned,2025-06-26 14:19:16.863742
ASN-00536,ZONE-4::RACK-9::795::GJ23X4559,DEW-1549-B63-795,ZONE-4::RACK-3::795::GJ23X4559::General,2025-07-05,2025-07-09,1,Assigned,2025-06-30 14:19:16.863742
ASN-00537,ZONE-2::RACK-6::384::GJ13X9573,IMM-1550-B14-384,ZONE-2::RACK-7::384::GJ13X9573::Specialised,2025-07-05,2025-07-09,1,Assigned,2025-06-23 14:19:16.863742
ASN-00538,ZONE-4::RACK-9::795::GJ26X5488,DEW-1551-B42-795,ZONE-4::RACK-6::795::GJ26X5488::General,2025-07-04,2025-07-06,0,Assigned,2025-07-01 14:19:16.863742
ASN-00539,ZONE-2::RACK-7::384::GJ12X5328,IMM-1552-B65-384,ZONE-2::RACK-9::384::GJ12X5328::Specialised,2025-07-05,2025-07-08,1,Assigned,2025-06-23 14:19:16.863742
ASN-00540,ZONE-4::RACK-9::795::GJ30X9209,DEW-1553-B86-795,ZONE-4::RACK-8::795::GJ30X9209::General,2025-07-03,2025-07-07,0,Assigned,2025-06-29 14:19:16.863742
ASN-00541,ZONE-1::RACK-4::295::GJ25X9157,ANT-1554-B87-295,ZONE-1::RACK-3::295::GJ25X9157::Specialised,2025-07-04,2025-07-06,1,Assigned,2025-06-29 14:19:16.863742
ASN-00542,ZONE-4::RACK-9::285::GJ09X3787,VIT-1555-B39-285,ZONE-4::RACK-4::285::GJ09X3787::General,2025-07-04,2025-07-07,1,Assigned,2025-06-24 14:19:16.863742
ASN-00543,ZONE-4::RACK-9::434::GJ17X5492,SUP-1556-B93-434,ZONE-4::RACK-5::434::GJ17X5492::General,2025-07-04,2025-07-08,1,Assigned,2025-06-30 14:19:16.863742
ASN-00544,ZONE-4::RACK-10::285::GJ17X4217,VIT-1557-B71-285,ZONE-4::RACK-10::285::GJ17X4217::General,2025-07-05,2025-07-09,0,Assigned,2025-06-27 14:19:16.863742
ASN-00545,ZONE-1::RACK-4::295::GJ12X3425,ANT-1558-B74-295,ZONE-1::RACK-1::295::GJ12X3425::Specialised,2025-07-05,2025-07-08,1,Assigned,2025-06-25 14:19:16.863742
ASN-00546,ZONE-2::RACK-7::384::GJ05X5064,IMM-1559-B74-384,ZONE-2::RACK-10::384::GJ05X5064::Specialised,2025-07-05,2025-07-08,1,Assigned,2025-06-26 14:19:16.863742
ASN-00547,ZONE-4::RACK-10::185::GJ24X6892,DIG-1560-B17-185,ZONE-4::RACK-1::185::GJ24X6892::General,2025-07-03,2025-07-07,0,Assigned,2025-06-23 14:19:16.863742
ASN-00548,ZONE-3::RACK-3::854::GJ03X3136,TOP-1561-B64-854,ZONE-3::RACK-3::854::GJ03X3136::Specialised,2025-07-04,2025-07-08,1,Assigned,2025-06-28 14:19:16.863742
ASN-00549,ZONE-1::RACK-4::789::GJ13X6948,ANT-1562-B80-789,ZONE-1::RACK-2::789::GJ13X6948::Specialised,2025-07-04,2025-07-07,1,Assigned,2025-06-26 14:19:16.863742
ASN-00550,ZONE-4::RACK-10::285::GJ07X6453,VIT-1563-B88-285,ZONE-4::RACK-8::285::GJ07X6453::General,2025-07-03,2025-07-07,1,Assigned,2025-07-01 14:19:16.863742
ASN-00551,ZONE-4::RACK-10::795::GJ03X5022,DEW-1564-B18-795,ZONE-4::RACK-1::795::GJ03X5022::General,2025-07-04,2025-07-07,0,Assigned,2025-06-28 14:19:16.863742
ASN-00552,ZONE-4::RACK-10::185::GJ10X2304,DIG-1565-B24-185,ZONE-4::RACK-2::185::GJ10X2304::General,2025-07-03,2025-07-06,0,Assigned,2025-06-30 14:19:16.863742
ASN-00553,ZONE-4::RACK-1::434::GJ22X5898,SUP-1566-B82-434,ZONE-4::RACK-2::434::GJ22X5898::General,2025-07-05,2025-07-09,1,Assigned,2025-06-27 14:19:16.863742
ASN-00554,ZONE-1::RACK-5::295::GJ15X4723,ANT-1567-B33-295,ZONE-1::RACK-4::295::GJ15X4723::Specialised,2025-07-04,2025-07-06,1,Assigned,2025-06-29 14:19:16.863742
ASN-00555,ZONE-1::RACK-5::295::GJ14X1053,ANT-1568-B38-295,ZONE-1::RACK-1::295::GJ14X1053::Specialised,2025-07-04,2025-07-08,1,Assigned,2025-06-29 14:19:16.863742
ASN-00556,ZONE-4::RACK-1::285::GJ27X4558,VIT-1569-B14-285,ZONE-4::RACK-8::285::GJ27X4558::General,2025-07-04,2025-07-06,0,Assigned,2025-06-29 14:19:16.863742
ASN-00557,ZONE-4::RACK-1::434::GJ16X6108,SUP-1570-B92-434,ZONE-4::RACK-5::434::GJ16X6108::General,2025-07-04,2025-07-07,1,Assigned,2025-06-28 14:19:16.863742
ASN-00558,ZONE-3::RACK-3::854::GJ16X5358,TOP-1571-B67-854,ZONE-3::RACK-8::854::GJ16X5358::Specialised,2025-07-05,2025-07-09,1,Assigned,2025-06-28 14:19:16.863742
ASN-00559,ZONE-4::RACK-1::795::GJ24X3685,DEW-1572-B61-795,ZONE-4::RACK-7::795::GJ24X3685::General,2025-07-04,2025-07-06,0,Assigned,2025-06-26 14:19:16.863742
ASN-00560,ZONE-4::RACK-1::285::GJ22X5898,VIT-1573-B31-285,ZONE-4::RACK-1::285::GJ22X5898::General,2025-07-05,2025-07-08,1,Assigned,2025-06-29 14:19:16.863742
